discipline_root,candidate_approval_number,approval_year,project_type_contexts,discipline_scope_contexts,segment_ids,max_segment_density,priority,context_risk,next_probe_policy,exact_web_query,funding_web_query,crossref_filter,institution_site_query,status,selected_for_first_batch,warning,crossref_strict_http_status,crossref_strict_total_results,crossref_strict_exact_nsfc_work_count,crossref_fallback_http_status,crossref_fallback_total_results,crossref_fallback_exact_award_count,openalex_award_count,openalex_work_count,openalex_award_http_statuses,openalex_work_http_statuses,confirmed_sources,publication_evidence_count,existence_status,evidence_level,project_title_candidate,lead_investigator_candidate,institution_candidate,candidate_identity_source,official_confirmation_status,requires_web_review,next_action,source_errors,retrieved_at,warning,batch_source_directory
B,20275026,2002,general,B04,2002|general|B04|20275|3,0.978261,P3,true,manual_context_review_before_probe,"""20275026""","""20275026"" ""National Natural Science Foundation of China""","award.number:20275026,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20275026""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20306003,2003,youth_c,B08,2003|youth_c|B08|20306|3,0.968750,P3,true,manual_context_review_before_probe,"""20306003""","""20306003"" ""National Natural Science Foundation of China""","award.number:20306003,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20306003""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20341003,2003,special,B01,2003|special|B01|20341|3,0.833333,P3,true,manual_context_review_before_probe,"""20341003""","""20341003"" ""National Natural Science Foundation of China""","award.number:20341003,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20341003""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20343004,2003,special,B02,2003|special|B02|20343|3,0.800000,P3,true,manual_context_review_before_probe,"""20343004""","""20343004"" ""National Natural Science Foundation of China""","award.number:20343004,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20343004""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20366004,2003,regional,B08,2003|regional|B08|20366|3,0.800000,P3,true,manual_context_review_before_probe,"""20366004""","""20366004"" ""National Natural Science Foundation of China""","award.number:20366004,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20366004""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20375012,2003,general,B04,2003|general|B04|20375|3,0.980392,P3,true,manual_context_review_before_probe,"""20375012""","""20375012"" ""National Natural Science Foundation of China""","award.number:20375012,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20375012""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,14,14,,0,0,0,0,200,200,crossref,14,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20401004,2004,youth_c,B01,2004|youth_c|B01|20401|3,0.857143,P3,true,manual_context_review_before_probe,"""20401004""","""20401004"" ""National Natural Science Foundation of China""","award.number:20401004,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20401004""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20401007,2004,youth_c,B01,2004|youth_c|B01|20401|3,0.857143,P3,true,manual_context_review_before_probe,"""20401007""","""20401007"" ""National Natural Science Foundation of China""","award.number:20401007,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20401007""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,1,1,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20443007,2004,special,B02,2004|special|B02|20443|3,0.875000,P3,true,manual_context_review_before_probe,"""20443007""","""20443007"" ""National Natural Science Foundation of China""","award.number:20443007,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20443007""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20475044,2004,general,B04,2004|general|B04|20475|3,0.927536,P3,true,manual_context_review_before_probe,"""20475044""","""20475044"" ""National Natural Science Foundation of China""","award.number:20475044,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20475044""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
