candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,priority,existence_status,evidence_level,confirmed_sources,publication_evidence_count,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,official_confirmation_status,next_action,warning
21777039,B,2017,general,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,25,,,,"""21777039""","""21777039"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21777039""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375082,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,25,,,,"""21375082""","""21375082"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375082""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21276040,B,2012,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,24,,,,"""21276040""","""21276040"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21276040""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21505009,B,2015,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,24,,,,"""21505009""","""21505009"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21505009""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21475081,B,2014,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,22,,,,"""21475081""","""21475081"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21475081""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375118,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,22,,,,"""21375118""","""21375118"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375118""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675114,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,22,,,,"""21675114""","""21675114"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675114""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21565022,B,2015,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,21,,,,"""21565022""","""21565022"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21565022""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21665022,B,2016,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,21,,,,"""21665022""","""21665022"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21665022""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21775076,B,2017,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,20,,,,"""21775076""","""21775076"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21775076""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675138,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,19,,,,"""21675138""","""21675138"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675138""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
20933004,B,2009,key,B03,P3,confirmed_bibliographic,C_bibliographic,crossref,19,,,,"""20933004""","""20933004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""20933004""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21876115,B,2018,general,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,18,,,,"""21876115""","""21876115"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21876115""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21276258,B,2012,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,18,,,,"""21276258""","""21276258"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21276258""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21632007,B,2016,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,18,,,,"""21632007""","""21632007"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21632007""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21467024,B,2014,regional,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21467024""","""21467024"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21467024""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21475039,B,2014,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21475039""","""21475039"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21475039""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21605123,B,2016,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21605123""","""21605123"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21605123""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21775058,B,2017,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21775058""","""21775058"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21775058""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375151,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21375151""","""21375151"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375151""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675010,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,17,,,,"""21675010""","""21675010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675010""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21305163,B,2013,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,16,,,,"""21305163""","""21305163"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21305163""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21777123,B,2017,general,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21777123""","""21777123"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21777123""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21276059,B,2012,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21276059""","""21276059"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21276059""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21475054,B,2014,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21475054""","""21475054"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21475054""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21864021,B,2018,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21864021""","""21864021"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21864021""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675070,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21675070""","""21675070"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675070""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21305101,B,2013,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21305101""","""21305101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21305101""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21175074,B,2011,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21175074""","""21175074"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21175074""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21065010,B,2010,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,15,,,,"""21065010""","""21065010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21065010""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21306035,B,2013,youth_c,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,14,,,,"""21306035""","""21306035"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21306035""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
20375012,B,2003,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,14,,,,"""20375012""","""20375012"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""20375012""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21705044,B,2017,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,14,,,,"""21705044""","""21705044"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21705044""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21205145,B,2012,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,14,,,,"""21205145""","""21205145"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21205145""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21665016,B,2016,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,14,,,,"""21665016""","""21665016"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21665016""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21676180,B,2016,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21676180""","""21676180"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21676180""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21207135,B,2012,youth_c,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21207135""","""21207135"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21207135""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21306124,B,2013,youth_c,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21306124""","""21306124"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21306124""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21405110,B,2014,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21405110""","""21405110"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21405110""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21575094,B,2015,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21575094""","""21575094"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21575094""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375090,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21375090""","""21375090"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375090""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21275016,B,2012,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21275016""","""21275016"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21275016""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21032002,B,2010,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,13,,,,"""21032002""","""21032002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21032002""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21605041,B,2016,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""21605041""","""21605041"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21605041""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21775038,B,2017,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""21775038""","""21775038"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21775038""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21775107,B,2017,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""21775107""","""21775107"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21775107""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
20875047,B,2008,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""20875047""","""20875047"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""20875047""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21275046,B,2012,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""21275046""","""21275046"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21275046""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21305062,B,2013,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,12,,,,"""21305062""","""21305062"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21305062""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21605102,B,2016,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,11,,,,"""21605102""","""21605102"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21605102""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21075053,B,2010,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,11,,,,"""21075053""","""21075053"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21075053""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375054,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,11,,,,"""21375054""","""21375054"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375054""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
