project_type,discipline_scope,change_year,added_templates,removed_templates,previous_template_count,current_template_count
joint_fund,B03,2012,U{YY}04{SERIAL:03d},2{YY}33{SERIAL:03d};2{YY}34{SERIAL:03d},2,1
joint_fund,B03,2015,U{YY}10{SERIAL:03d},,1,2
joint_fund,B04,2017,U{YY}36{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B04,2020,U20A20{SERIAL:03d};U{YY}04{SERIAL:03d},U{YY}36{SERIAL:03d},1,2
joint_fund,B05,2012,U{YY}04{SERIAL:03d},U{YY}34{SERIAL:03d},1,1
joint_fund,B05,2014,U{YY}07{SERIAL:03d},,1,2
joint_fund,B05,2015,,U{YY}07{SERIAL:03d},2,1
joint_fund,B06,2013,U{YY}04{SERIAL:03d},2{YY}22{SERIAL:03d},1,1
joint_fund,B06,2014,U{YY}07{SERIAL:03d},,1,2
joint_fund,B06,2015,,U{YY}07{SERIAL:03d},2,1
joint_fund,B06,2018,U{YY}67{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B06,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d},,1,3
joint_fund,B07,2019,U{YY}67{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B07,2020,U20A20{SERIAL:03d},U{YY}67{SERIAL:03d},1,1
joint_fund,B08,2002,2{YY}36{SERIAL:03d},2{YY}22{SERIAL:03d};2{YY}76{SERIAL:03d},2,1
joint_fund,B08,2004,2{YY}22{SERIAL:03d},2{YY}36{SERIAL:03d},1,1
joint_fund,B08,2006,U{YY}33{SERIAL:03d},2{YY}22{SERIAL:03d},1,1
joint_fund,B08,2007,2{YY}36{SERIAL:03d},,1,2
joint_fund,B08,2008,5{YY}76{SERIAL:03d},2{YY}36{SERIAL:03d};U{YY}33{SERIAL:03d},2,1
joint_fund,B08,2011,U{YY}62{SERIAL:03d},5{YY}76{SERIAL:03d},1,1
joint_fund,B08,2012,U{YY}04{SERIAL:03d},U{YY}62{SERIAL:03d},1,1
joint_fund,B08,2013,U{YY}62{SERIAL:03d},,1,2
joint_fund,B08,2014,U{YY}07{SERIAL:03d};U{YY}63{SERIAL:03d},,2,4
joint_fund,B08,2015,U{YY}08{SERIAL:03d};U{YY}10{SERIAL:03d},U{YY}62{SERIAL:03d};U{YY}63{SERIAL:03d},4,4
joint_fund,B08,2016,U{YY}62{SERIAL:03d};U{YY}63{SERIAL:03d},U{YY}04{SERIAL:03d},4,5
joint_fund,B08,2017,,U{YY}08{SERIAL:03d};U{YY}62{SERIAL:03d};U{YY}63{SERIAL:03d},5,2
joint_fund,B08,2018,U{YY}62{SERIAL:03d},U{YY}07{SERIAL:03d};U{YY}10{SERIAL:03d},2,1
joint_fund,B08,2019,U19B2{SERIAL:03d};U{YY}08{SERIAL:03d};U{YY}10{SERIAL:03d},U{YY}62{SERIAL:03d},1,3
joint_fund,B08,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d};U{YY}04{SERIAL:03d},U19B2{SERIAL:03d};U{YY}08{SERIAL:03d};U{YY}10{SERIAL:03d},3,3
joint_fund,B09,2020,U20A20{SERIAL:03d},U19A2{SERIAL:03d},1,1
key,B01,1992,,2{YY}31{SERIAL:03d},3,2
key,B01,1993,2{YY}31{SERIAL:03d},2{YY}32{SERIAL:03d};2{YY}34{SERIAL:03d},2,1
key,B01,1996,2{YY}32{SERIAL:03d};2{YY}34{SERIAL:03d},,1,3
key,B01,1998,,2{YY}31{SERIAL:03d},3,2
key,B01,1999,2{YY}31{SERIAL:03d},2{YY}34{SERIAL:03d},2,2
key,B01,2000,,2{YY}31{SERIAL:03d},2,1
key,B01,2001,2{YY}31{SERIAL:03d},,1,2
key,B01,2003,2{YY}34{SERIAL:03d},,2,3
key,B01,2011,,2{YY}34{SERIAL:03d},3,2
key,B01,2012,2{YY}34{SERIAL:03d},,2,3
key,B01,2018,,2{YY}32{SERIAL:03d};2{YY}34{SERIAL:03d},3,1
key,B02,2018,2{YY}32{SERIAL:03d},2{YY}33{SERIAL:03d},1,1
key,B03,1992,,2{YY}31{SERIAL:03d};2{YY}35{SERIAL:03d},3,1
key,B03,1994,2{YY}34{SERIAL:03d},2{YY}33{SERIAL:03d},1,1
key,B03,1996,2{YY}31{SERIAL:03d};2{YY}33{SERIAL:03d},2{YY}34{SERIAL:03d},1,2
key,B03,1997,2{YY}35{SERIAL:03d},2{YY}31{SERIAL:03d},2,2
key,B03,1998,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},2{YY}35{SERIAL:03d},2,3
key,B03,1999,,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},3,1
key,B03,2002,2{YY}34{SERIAL:03d};2{YY}35{SERIAL:03d},,1,3
key,B03,2003,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},2{YY}34{SERIAL:03d};2{YY}35{SERIAL:03d},3,3
key,B03,2004,,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},3,1
key,B03,2005,2{YY}32{SERIAL:03d},,1,2
key,B03,2006,2{YY}31{SERIAL:03d};2{YY}34{SERIAL:03d},2{YY}32{SERIAL:03d},2,3
key,B03,2008,2{YY}32{SERIAL:03d};2{YY}35{SERIAL:03d},2{YY}34{SERIAL:03d},3,4
key,B03,2009,2{YY}34{SERIAL:03d},2{YY}31{SERIAL:03d};2{YY}35{SERIAL:03d},4,3
key,B03,2010,2{YY}31{SERIAL:03d},2{YY}32{SERIAL:03d};2{YY}34{SERIAL:03d},3,2
key,B03,2011,2{YY}34{SERIAL:03d},2{YY}31{SERIAL:03d},2,2
key,B03,2012,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},,2,4
key,B03,2013,,2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d},4,2
key,B03,2016,,2{YY}34{SERIAL:03d},2,1
key,B03,2017,2{YY}31{SERIAL:03d};2{YY}34{SERIAL:03d},,1,3
key,B03,2018,,2{YY}31{SERIAL:03d};2{YY}34{SERIAL:03d},3,1
key,B04,1992,2{YY}33{SERIAL:03d},,1,2
key,B04,1996,,2{YY}33{SERIAL:03d},2,1
key,B04,2015,2{YY}32{SERIAL:03d},,1,2
key,B04,2016,,2{YY}32{SERIAL:03d},2,1
key,B04,2018,2{YY}34{SERIAL:03d},2{YY}35{SERIAL:03d},1,1
key,B05,1992,2{YY}36{SERIAL:03d},,1,2
key,B05,1994,,2{YY}36{SERIAL:03d},2,1
key,B05,2003,2{YY}32{SERIAL:03d},,1,2
key,B05,2004,,2{YY}32{SERIAL:03d},2,1
key,B05,2010,2{YY}31{SERIAL:03d},,1,2
key,B05,2015,,2{YY}31{SERIAL:03d},2,1
key,B05,2016,2{YY}31{SERIAL:03d};2{YY}33{SERIAL:03d},,1,3
key,B05_legacy_material_energy,2018,2{YY}35{SERIAL:03d},2{YY}33{SERIAL:03d};2{YY}34{SERIAL:03d},2,1
key,B06,1993,2{YY}31{SERIAL:03d},2{YY}37{SERIAL:03d},1,1
key,B06,1996,2{YY}37{SERIAL:03d},2{YY}31{SERIAL:03d},1,1
key,B06,1997,2{YY}31{SERIAL:03d},2{YY}37{SERIAL:03d},1,1
key,B06,1998,2{YY}37{SERIAL:03d},2{YY}31{SERIAL:03d},1,1
key,B06,2018,2{YY}36{SERIAL:03d},2{YY}37{SERIAL:03d},1,1
key,B07,1993,2{YY}31{SERIAL:03d},2{YY}32{SERIAL:03d},1,1
key,B07,1996,2{YY}32{SERIAL:03d},,1,2
key,B07,1998,,2{YY}31{SERIAL:03d},2,1
key,B07,2000,2{YY}31{SERIAL:03d},2{YY}32{SERIAL:03d},1,1
key,B07,2003,2{YY}32{SERIAL:03d},,1,2
key,B07,2004,,2{YY}31{SERIAL:03d},2,1
key,B07,2008,2{YY}31{SERIAL:03d},2{YY}32{SERIAL:03d},1,1
key,B07,2009,2{YY}32{SERIAL:03d},2{YY}31{SERIAL:03d},1,1
key,B07,2010,2{YY}33{SERIAL:03d},,1,2
key,B07,2011,2{YY}31{SERIAL:03d},,2,3
key,B07,2013,,2{YY}31{SERIAL:03d};2{YY}33{SERIAL:03d},3,1
key,B07,2014,2{YY}31{SERIAL:03d};2{YY}33{SERIAL:03d},,1,3
key,B07,2015,,2{YY}31{SERIAL:03d},3,2
key,B07,2016,,2{YY}33{SERIAL:03d},2,1
key,B07,2017,2{YY}31{SERIAL:03d};2{YY}38{SERIAL:03d},,1,3
key,B07,2018,2{YY}37{SERIAL:03d},2{YY}31{SERIAL:03d};2{YY}32{SERIAL:03d};2{YY}38{SERIAL:03d},3,1
key,B08,2018,2{YY}38{SERIAL:03d},2{YY}36{SERIAL:03d},1,1
key,B09,2014,2{YY}34{SERIAL:03d},2{YY}33{SERIAL:03d},1,1
key,B09,2016,2{YY}33{SERIAL:03d},,1,2
key,B09,2017,,2{YY}33{SERIAL:03d},2,1
key,B09,2018,2{YY}35{SERIAL:03d},2{YY}34{SERIAL:03d},1,1
major_research_plan,B01,2002,9{YY}06{SERIAL:03d},,1,2
major_research_plan,B01,2006,,9{YY}01{SERIAL:03d},2,1
major_research_plan,B01,2007,9{YY}13{SERIAL:03d},9{YY}06{SERIAL:03d},1,1
major_research_plan,B01,2009,9{YY}22{SERIAL:03d};9{YY}23{SERIAL:03d},,1,3
major_research_plan,B01,2010,9{YY}27{SERIAL:03d},9{YY}13{SERIAL:03d};9{YY}23{SERIAL:03d},3,2
major_research_plan,B01,2011,9{YY}06{SERIAL:03d};9{YY}23{SERIAL:03d},,2,4
major_research_plan,B01,2012,9{YY}13{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}23{SERIAL:03d},4,3
major_research_plan,B01,2013,9{YY}33{SERIAL:03d},9{YY}27{SERIAL:03d},3,3
major_research_plan,B01,2014,,9{YY}22{SERIAL:03d};9{YY}33{SERIAL:03d},3,1
major_research_plan,B01,2015,9{YY}27{SERIAL:03d};9{YY}45{SERIAL:03d},,1,3
major_research_plan,B01,2016,9{YY}22{SERIAL:03d},9{YY}13{SERIAL:03d};9{YY}27{SERIAL:03d},3,2
major_research_plan,B01,2017,,9{YY}45{SERIAL:03d},2,1
major_research_plan,B01,2018,9{YY}56{SERIAL:03d},9{YY}22{SERIAL:03d},1,1
major_research_plan,B01,2019,9{YY}61{SERIAL:03d},,1,2
major_research_plan,B01,2022,,9{YY}61{SERIAL:03d},2,1
major_research_plan,B02,2003,,9{YY}10{SERIAL:03d},2,1
major_research_plan,B02,2004,9{YY}07{SERIAL:03d},,1,2
major_research_plan,B02,2005,9{YY}10{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}07{SERIAL:03d},2,1
major_research_plan,B02,2006,9{YY}06{SERIAL:03d},,1,2
major_research_plan,B02,2009,9{YY}23{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}10{SERIAL:03d},2,1
major_research_plan,B02,2010,9{YY}22{SERIAL:03d};9{YY}27{SERIAL:03d},,1,3
major_research_plan,B02,2011,,9{YY}22{SERIAL:03d};9{YY}23{SERIAL:03d},3,1
major_research_plan,B02,2013,9{YY}26{SERIAL:03d};9{YY}33{SERIAL:03d},9{YY}27{SERIAL:03d},1,2
major_research_plan,B02,2014,9{YY}34{SERIAL:03d},9{YY}26{SERIAL:03d},2,2
major_research_plan,B02,2015,9{YY}27{SERIAL:03d};9{YY}45{SERIAL:03d},9{YY}33{SERIAL:03d},2,3
major_research_plan,B02,2016,,9{YY}34{SERIAL:03d},3,2
