approval_year,discipline_scope,project_type,unique_projects
1994,B04,youth_c,5
1994,B05,general,18
1994,B05,key,6
1994,B05,special,3
1994,B05,youth_c,5
1994,B06,general,23
1994,B06,regional,1
1994,B06,youth_c,5
1994,B07,general,23
1994,B07,regional,5
1994,B07,special,4
1994,B07,youth_c,4
1994,B08,general,44
1994,B08,regional,2
1994,B08,special,3
1994,B08,youth_c,10
1994,B09,youth_c,1
1995,B01,general,60
1995,B01,regional,5
1995,B01,special,8
1995,B01,youth_c,17
1995,B02,general,32
1995,B02,regional,1
1995,B02,special,3
1995,B02,youth_c,6
1995,B03,general,52
1995,B03,special,4
1995,B03,youth_c,9
1995,B04,general,31
1995,B04,regional,1
1995,B04,special,2
1995,B04,youth_c,3
1995,B05,general,21
1995,B05,special,3
1995,B05,youth_c,1
1995,B06,general,28
1995,B06,regional,1
1995,B06,special,2
1995,B06,youth_c,4
1995,B07,general,20
1995,B07,regional,2
1995,B07,special,6
1995,B07,youth_c,2
1995,B08,general,45
1995,B08,regional,1
1995,B08,special,4
1995,B08,youth_c,11
1995,B09,general,2
1996,B01,general,60
1996,B01,key,4
1996,B01,regional,2
1996,B01,special,5
1996,B01,youth_c,15
1996,B02,general,38
1996,B02,key,1
1996,B02,regional,1
1996,B02,special,1
1996,B02,youth_c,4
1996,B03,general,46
1996,B03,key,3
1996,B03,regional,1
1996,B03,special,2
1996,B03,youth_c,9
1996,B04,general,31
1996,B04,key,2
1996,B04,regional,1
1996,B04,youth_c,4
1996,B05,general,23
1996,B05,key,2
1996,B05,regional,2
1996,B05,youth_c,4
1996,B06,general,32
1996,B06,key,1
1996,B06,regional,1
1996,B06,youth_c,5
1996,B07,general,21
1996,B07,key,4
1996,B07,regional,3
1996,B07,special,2
1996,B07,youth_c,2
1996,B08,general,44
1996,B08,key,1
1996,B08,regional,1
1996,B08,special,1
1996,B08,youth_c,9
1996,B09,youth_c,1
1997,B01,general,59
1997,B01,key,6
1997,B01,regional,2
1997,B01,special,4
1997,B01,youth_c,10
1997,B02,general,32
1997,B02,key,2
1997,B02,special,4
1997,B02,youth_c,6
1997,B03,general,47
1997,B03,key,4
1997,B03,regional,4
1997,B03,special,2
1997,B03,youth_c,12
1997,B04,general,32
1997,B04,key,1
1997,B04,special,2
1997,B04,youth_c,4
1997,B05,general,26
1997,B05,regional,1
1997,B05,special,2
1997,B05,youth_c,2
1997,B06,general,32
1997,B06,key,1
1997,B06,regional,1
1997,B06,youth_c,4
1997,B07,general,24
1997,B07,key,2
1997,B07,regional,4
1997,B07,special,1
1997,B07,youth_c,3
1997,B08,general,48
1997,B08,key,3
1997,B08,regional,4
1997,B08,special,2
1997,B08,youth_c,12
1997,B09,general,1
1997,B09,youth_c,1
1998,B01,general,68
1998,B01,key,3
1998,B01,regional,3
1998,B01,special,8
1998,B01,youth_c,7
1998,B02,general,39
1998,B02,key,3
1998,B02,regional,2
1998,B02,special,2
1998,B02,youth_c,7
1998,B03,general,48
1998,B03,key,3
1998,B03,regional,1
1998,B03,special,5
1998,B03,youth_c,8
1998,B04,general,35
1998,B04,key,2
1998,B04,regional,1
1998,B04,special,2
1998,B04,youth_c,6
1998,B05,general,24
1998,B05,regional,1
1998,B05,special,1
1998,B05,youth_c,7
1998,B06,general,36
1998,B06,key,3
1998,B06,regional,1
1998,B06,youth_c,5
1998,B07,general,19
1998,B07,key,1
1998,B07,regional,4
1998,B07,youth_c,5
1998,B08,general,48
1998,B08,key,4
1998,B08,regional,3
1998,B08,special,1
1998,B08,youth_c,12
1999,B01,general,63
1999,B01,key,2
1999,B01,regional,2
1999,B01,special,4
1999,B01,youth_c,11
1999,B02,general,29
1999,B02,key,1
1999,B02,regional,2
1999,B02,special,2
1999,B02,youth_c,10
1999,B03,general,51
1999,B03,key,1
1999,B03,special,3
1999,B03,youth_c,4
1999,B04,general,30
1999,B04,key,1
1999,B04,regional,1
1999,B04,special,4
1999,B04,youth_c,6
1999,B05,general,22
