segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1988|general|B04|28870|3,4,104,104,1,28870104,28870104
1988|general|B04|28870|3,5,183,183,1,28870183,28870183
1988|general|B04|28870|3,6,196,197,2,28870196,28870197
1988|general|B04|28870|3,7,205,219,15,28870205,28870219
1988|general|B04|28870|3,8,221,244,24,28870221,28870244
1988|general|B05|28870|3,1,179,179,1,28870179,28870179
1988|general|B05|28870|3,2,182,182,1,28870182,28870182
1988|general|B05|28870|3,3,184,187,4,28870184,28870187
1988|general|B05|28870|3,4,190,195,6,28870190,28870195
1988|general|B05|28870|3,5,200,200,1,28870200,28870200
1988|general|B05|28870|3,6,202,203,2,28870202,28870203
1988|general|B06|28870|3,1,2,2,1,28870002,28870002
1988|general|B06|28870|3,2,24,24,1,28870024,28870024
1988|general|B06|28870|3,3,29,29,1,28870029,28870029
1988|general|B06|28870|3,4,35,35,1,28870035,28870035
1988|general|B06|28870|3,5,38,38,1,28870038,28870038
1988|general|B06|28870|3,6,282,296,15,28870282,28870296
1988|general|B07|28870|3,1,6,7,2,28870006,28870007
1988|general|B07|28870|3,2,27,28,2,28870027,28870028
1988|general|B07|28870|3,3,30,30,1,28870030,28870030
1988|general|B07|28870|3,4,36,37,2,28870036,28870037
1988|general|B07|28870|3,5,41,41,1,28870041,28870041
1988|general|B07|28870|3,6,44,45,2,28870044,28870045
1988|general|B07|28870|3,7,47,47,1,28870047,28870047
1988|general|B07|28870|3,8,61,61,1,28870061,28870061
1988|general|B07|28870|3,9,64,64,1,28870064,28870064
1988|general|B07|28870|3,10,71,71,1,28870071,28870071
1988|general|B07|28870|3,11,82,82,1,28870082,28870082
1988|general|B07|28870|3,12,88,88,1,28870088,28870088
1988|general|B07|28870|3,13,96,96,1,28870096,28870096
1988|general|B07|28870|3,14,99,100,2,28870099,28870100
1988|general|B07|28870|3,15,105,106,2,28870105,28870106
1988|general|B07|28870|3,16,108,111,4,28870108,28870111
1988|general|B07|28870|3,17,141,141,1,28870141,28870141
1988|general|B07|28879|3,1,4,4,1,28879004,28879004
1988|general|B08|28870|3,1,245,281,37,28870245,28870281
1988|special|B01|28880|3,1,1,2,2,28880001,28880002
1988|special|B02|28880|3,1,4,4,1,28880004,28880004
1988|special|B03|28849|3,1,1,1,1,28849001,28849001
1988|special|B03|28849|3,2,3,3,1,28849003,28849003
1988|special|B03|28880|3,1,3,3,1,28880003,28880003
1988|special|B04|28880|3,1,6,6,1,28880006,28880006
1988|special|B07|28849|3,1,2,2,1,28849002,28849002
1988|special|B07|28880|3,1,5,5,1,28880005,28880005
1988|special|B08|28880|3,1,7,9,3,28880007,28880009
1988|youth_c|B01|28800|3,1,1,1,1,28800001,28800001
1988|youth_c|B01|28800|3,2,3,4,2,28800003,28800004
1988|youth_c|B01|28800|3,3,6,6,1,28800006,28800006
1988|youth_c|B03|28800|3,1,7,11,5,28800007,28800011
1988|youth_c|B04|28800|3,1,13,14,2,28800013,28800014
1988|youth_c|B05|28800|3,1,12,12,1,28800012,28800012
1988|youth_c|B07|28800|3,1,2,2,1,28800002,28800002
1988|youth_c|B07|28800|3,2,5,5,1,28800005,28800005
1988|youth_c|B08|28800|3,1,15,15,1,28800015,28800015
1989|general|B01|28970|3,1,4,6,3,28970004,28970006
1989|general|B01|28970|3,2,8,9,2,28970008,28970009
1989|general|B01|28970|3,3,11,12,2,28970011,28970012
1989|general|B01|28970|3,4,14,14,1,28970014,28970014
1989|general|B01|28970|3,5,16,17,2,28970016,28970017
1989|general|B01|28970|3,6,19,21,3,28970019,28970021
1989|general|B01|28970|3,7,24,29,6,28970024,28970029
1989|general|B01|28970|3,8,32,32,1,28970032,28970032
1989|general|B01|28970|3,9,36,36,1,28970036,28970036
1989|general|B01|28970|3,10,38,40,3,28970038,28970040
1989|general|B01|28970|3,11,42,42,1,28970042,28970042
1989|general|B01|28970|3,12,45,45,1,28970045,28970045
1989|general|B01|28970|3,13,47,48,2,28970047,28970048
1989|general|B01|28970|3,14,51,51,1,28970051,28970051
1989|general|B01|28970|3,15,53,53,1,28970053,28970053
1989|general|B01|28970|3,16,55,55,1,28970055,28970055
1989|general|B01|28970|3,17,57,57,1,28970057,28970057
1989|general|B01|28970|3,18,59,59,1,28970059,28970059
1989|general|B01|28970|3,19,61,65,5,28970061,28970065
1989|general|B01|28970|3,20,67,69,3,28970067,28970069
1989|general|B01|28970|3,21,73,73,1,28970073,28970073
1989|general|B01|28970|3,22,75,75,1,28970075,28970075
1989|general|B01|28970|3,23,78,84,7,28970078,28970084
1989|general|B01|28970|3,24,86,87,2,28970086,28970087
1989|general|B01|28970|3,25,92,94,3,28970092,28970094
1989|general|B01|28970|3,26,96,96,1,28970096,28970096
1989|general|B01|28970|3,27,99,99,1,28970099,28970099
1989|general|B01|28970|3,28,102,102,1,28970102,28970102
1989|general|B01|28970|3,29,109,109,1,28970109,28970109
1989|general|B01|28970|3,30,190,190,1,28970190,28970190
1989|general|B01|28970|3,31,194,197,4,28970194,28970197
1989|general|B01|28970|3,32,199,199,1,28970199,28970199
1989|general|B01|28970|3,33,203,203,1,28970203,28970203
1989|general|B01|28970|3,34,205,205,1,28970205,28970205
1989|general|B01|28970|3,35,212,213,2,28970212,28970213
1989|general|B01|28970|3,36,220,220,1,28970220,28970220
1989|general|B01|28970|3,37,225,225,1,28970225,28970225
1989|general|B01|28970|3,38,228,228,1,28970228,28970228
1989|general|B02|28970|3,1,2,2,1,28970002,28970002
1989|general|B02|28970|3,2,111,111,1,28970111,28970111
1989|general|B02|28970|3,3,115,115,1,28970115,28970115
1989|general|B02|28970|3,4,117,117,1,28970117,28970117
1989|general|B02|28970|3,5,123,123,1,28970123,28970123
1989|general|B02|28970|3,6,126,126,1,28970126,28970126
1989|general|B02|28970|3,7,128,128,1,28970128,28970128
1989|general|B02|28970|3,8,131,131,1,28970131,28970131
1989|general|B02|28970|3,9,133,133,1,28970133,28970133
1989|general|B02|28970|3,10,135,136,2,28970135,28970136
1989|general|B02|28970|3,11,138,140,3,28970138,28970140
1989|general|B02|28970|3,12,143,143,1,28970143,28970143
1989|general|B02|28970|3,13,145,149,5,28970145,28970149
1989|general|B02|28970|3,14,151,152,2,28970151,28970152
1989|general|B02|28970|3,15,154,154,1,28970154,28970154
1989|general|B02|28970|3,16,156,161,6,28970156,28970161
1989|general|B02|28970|3,17,163,163,1,28970163,28970163
1989|general|B02|28970|3,18,166,167,2,28970166,28970167
1989|general|B02|28970|3,19,172,172,1,28970172,28970172
1989|general|B02|28970|3,20,174,174,1,28970174,28970174
1989|general|B02|28970|3,21,179,180,2,28970179,28970180
1989|general|B03|28970|3,1,1,1,1,28970001,28970001
1989|general|B03|28970|3,2,3,3,1,28970003,28970003
1989|general|B03|28970|3,3,31,31,1,28970031,28970031
1989|general|B03|28970|3,4,44,44,1,28970044,28970044
1989|general|B03|28970|3,5,56,56,1,28970056,28970056
1989|general|B03|28970|3,6,66,66,1,28970066,28970066
1989|general|B03|28970|3,7,110,110,1,28970110,28970110
1989|general|B03|28970|3,8,112,114,3,28970112,28970114
1989|general|B03|28970|3,9,116,116,1,28970116,28970116
1989|general|B03|28970|3,10,118,122,5,28970118,28970122
1989|general|B03|28970|3,11,124,125,2,28970124,28970125
1989|general|B03|28970|3,12,127,127,1,28970127,28970127
1989|general|B03|28970|3,13,129,130,2,28970129,28970130
1989|general|B03|28970|3,14,132,132,1,28970132,28970132
1989|general|B03|28970|3,15,134,134,1,28970134,28970134
1989|general|B03|28970|3,16,137,137,1,28970137,28970137
1989|general|B03|28970|3,17,141,142,2,28970141,28970142
1989|general|B03|28970|3,18,144,144,1,28970144,28970144
1989|general|B03|28970|3,19,150,150,1,28970150,28970150
1989|general|B03|28970|3,20,153,153,1,28970153,28970153
1989|general|B03|28970|3,21,155,155,1,28970155,28970155
1989|general|B03|28970|3,22,162,162,1,28970162,28970162
1989|general|B03|28970|3,23,164,165,2,28970164,28970165
1989|general|B03|28970|3,24,168,171,4,28970168,28970171
1989|general|B03|28970|3,25,173,173,1,28970173,28970173
1989|general|B03|28970|3,26,175,178,4,28970175,28970178
1989|general|B03|28970|3,27,192,192,1,28970192,28970192
1989|general|B03|28970|3,28,218,218,1,28970218,28970218
1989|general|B03|28970|3,29,222,222,1,28970222,28970222
1989|general|B04|28970|3,1,7,7,1,28970007,28970007
1989|general|B04|28970|3,2,52,52,1,28970052,28970052
1989|general|B04|28970|3,3,54,54,1,28970054,28970054
1989|general|B04|28970|3,4,91,91,1,28970091,28970091
1989|general|B04|28970|3,5,101,101,1,28970101,28970101
1989|general|B04|28970|3,6,185,185,1,28970185,28970185
1989|general|B04|28970|3,7,188,188,1,28970188,28970188
1989|general|B04|28970|3,8,198,198,1,28970198,28970198
1989|general|B04|28970|3,9,207,207,1,28970207,28970207
1989|general|B04|28970|3,10,215,215,1,28970215,28970215
1989|general|B04|28970|3,11,219,219,1,28970219,28970219
1989|general|B04|28970|3,12,224,224,1,28970224,28970224
1989|general|B04|28970|3,13,229,273,45,28970229,28970273
1989|general|B05|28970|3,1,43,43,1,28970043,28970043
1989|general|B05|28970|3,2,46,46,1,28970046,28970046
1989|general|B05|28970|3,3,58,58,1,28970058,28970058
1989|general|B05|28970|3,4,74,74,1,28970074,28970074
1989|general|B05|28970|3,5,76,76,1,28970076,28970076
1989|general|B05|28970|3,6,103,103,1,28970103,28970103
1989|general|B05|28970|3,7,181,184,4,28970181,28970184
1989|general|B05|28970|3,8,186,187,2,28970186,28970187
1989|general|B05|28970|3,9,189,189,1,28970189,28970189
1989|general|B05|28970|3,10,191,191,1,28970191,28970191
1989|general|B05|28970|3,11,193,193,1,28970193,28970193
1989|general|B05|28970|3,12,200,202,3,28970200,28970202
1989|general|B05|28970|3,13,204,204,1,28970204,28970204
1989|general|B05|28970|3,14,206,206,1,28970206,28970206
1989|general|B05|28970|3,15,208,211,4,28970208,28970211
1989|general|B05|28970|3,16,214,214,1,28970214,28970214
1989|general|B05|28970|3,17,216,217,2,28970216,28970217
1989|general|B05|28970|3,18,221,221,1,28970221,28970221
1989|general|B05|28970|3,19,223,223,1,28970223,28970223
1989|general|B05|28970|3,20,226,227,2,28970226,28970227
1989|general|B06|28970|3,1,10,10,1,28970010,28970010
1989|general|B06|28970|3,2,33,34,2,28970033,28970034
1989|general|B06|28970|3,3,310,326,17,28970310,28970326
1989|general|B07|28970|3,1,13,13,1,28970013,28970013
1989|general|B07|28970|3,2,15,15,1,28970015,28970015
1989|general|B07|28970|3,3,18,18,1,28970018,28970018
1989|general|B07|28970|3,4,22,23,2,28970022,28970023
1989|general|B07|28970|3,5,35,35,1,28970035,28970035
1989|general|B07|28970|3,6,37,37,1,28970037,28970037
1989|general|B07|28970|3,7,41,41,1,28970041,28970041
1989|general|B07|28970|3,8,49,50,2,28970049,28970050
1989|general|B07|28970|3,9,60,60,1,28970060,28970060
1989|general|B07|28970|3,10,70,72,3,28970070,28970072
1989|general|B07|28970|3,11,77,77,1,28970077,28970077
1989|general|B07|28970|3,12,85,85,1,28970085,28970085
1989|general|B07|28970|3,13,88,90,3,28970088,28970090
1989|general|B07|28970|3,14,95,95,1,28970095,28970095
1989|general|B07|28970|3,15,97,98,2,28970097,28970098
1989|general|B07|28970|3,16,100,100,1,28970100,28970100
1989|general|B07|28970|3,17,104,108,5,28970104,28970108
