candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,original_priority,followup_priority,existence_status,confirmed_sources,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,next_action,official_confirmation_status,warning
52079144,E,2020,general,E09,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""52079144""","""52079144"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52079144""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
22077109,B,2020,general,B07,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""22077109""","""22077109"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22077109""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50672091,E,2006,general,E02,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""50672091""","""50672091"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50672091""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
22004067,B,2020,youth_c,B04,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""22004067""","""22004067"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22004067""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50971006,E,2009,general,E01,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50971006""","""50971006"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50971006""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51274134,E,2012,general,E04,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51274134""","""51274134"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51274134""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51274190,E,2012,general,E04,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51274190""","""51274190"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51274190""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51105077,E,2011,youth_c,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51105077""","""51105077"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105077""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51105098,E,2011,youth_c,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51105098""","""51105098"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105098""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51105357,E,2011,youth_c,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51105357""","""51105357"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105357""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
