approval_year,discipline_scope,project_type,unique_projects
1996,E01,regional,2
1996,E01,special,8
1996,E01,youth_c,13
1996,E02,general,43
1996,E02,key,3
1996,E02,regional,1
1996,E02,special,12
1996,E02,youth_c,12
1996,E03,general,30
1996,E03,key,2
1996,E03,special,6
1996,E03,youth_c,7
1996,E04,general,34
1996,E04,key,3
1996,E04,youth_c,8
1996,E05,general,89
1996,E05,key,5
1996,E05,regional,2
1996,E05,special,4
1996,E05,youth_c,22
1996,E06,general,47
1996,E06,key,2
1996,E06,regional,1
1996,E06,special,4
1996,E06,youth_c,13
1996,E07,general,24
1996,E07,key,2
1996,E07,regional,1
1996,E07,special,1
1996,E07,youth_c,7
1996,E08,general,44
1996,E08,key,3
1996,E08,special,1
1996,E08,youth_c,12
1996,E09,general,26
1996,E09,key,1
1996,E09,regional,2
1996,E09,special,2
1996,E09,youth_c,8
1996,E10,general,13
1996,E10,key,1
1996,E10,regional,2
1996,E10,youth_c,1
1997,E01,general,70
1997,E01,key,3
1997,E01,regional,1
1997,E01,special,5
1997,E01,youth_c,12
1997,E02,general,43
1997,E02,key,2
1997,E02,regional,2
1997,E02,special,11
1997,E02,youth_c,13
1997,E03,general,30
1997,E03,key,2
1997,E03,regional,2
1997,E03,special,7
1997,E03,youth_c,8
1997,E04,general,35
1997,E04,key,2
1997,E04,regional,2
1997,E04,youth_c,8
1997,E05,general,90
1997,E05,key,3
1997,E05,regional,1
1997,E05,special,7
1997,E05,youth_c,22
1997,E06,general,49
1997,E06,key,1
1997,E06,regional,1
1997,E06,special,2
1997,E06,youth_c,11
1997,E07,general,25
1997,E07,key,1
1997,E07,special,1
1997,E07,youth_c,7
1997,E08,general,45
1997,E08,key,1
1997,E08,regional,1
1997,E08,special,2
1997,E08,youth_c,12
1997,E09,general,24
1997,E09,key,2
1997,E09,regional,2
1997,E09,youth_c,8
1997,E10,general,14
1997,E10,key,1
1997,E10,youth_c,2
1997,E11,general,2
1998,E01,general,67
1998,E01,key,3
1998,E01,regional,2
1998,E01,special,11
1998,E01,youth_c,13
1998,E02,general,50
1998,E02,key,6
1998,E02,regional,2
1998,E02,special,10
1998,E02,youth_c,12
1998,E03,general,30
1998,E03,key,4
1998,E03,regional,2
1998,E03,special,5
1998,E03,youth_c,8
1998,E04,general,34
1998,E04,key,1
1998,E04,regional,2
1998,E04,youth_c,9
1998,E05,general,91
1998,E05,key,5
1998,E05,regional,1
1998,E05,special,8
1998,E05,youth_c,22
1998,E06,general,47
1998,E06,key,5
1998,E06,regional,1
1998,E06,special,6
1998,E06,youth_c,12
1998,E07,general,25
1998,E07,key,2
