segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1989|general|E08|58978|3,6,360,360,1,58978360,58978360
1989|general|E08|58978|3,7,362,363,2,58978362,58978363
1989|general|E08|58978|3,8,367,380,14,58978367,58978380
1989|general|E09|58979|3,1,382,388,7,58979382,58979388
1989|general|E09|58979|3,2,390,390,1,58979390,58979390
1989|general|E09|58979|3,3,392,404,13,58979392,58979404
1989|general|E10|58978|3,1,317,317,1,58978317,58978317
1989|general|E10|58978|3,2,332,332,1,58978332,58978332
1989|general|E10|58978|3,3,334,335,2,58978334,58978335
1989|general|E10|58978|3,4,339,339,1,58978339,58978339
1989|general|E10|58978|3,5,359,359,1,58978359,58978359
1989|general|E10|58978|3,6,361,361,1,58978361,58978361
1989|general|E10|58978|3,7,364,366,3,58978364,58978366
1989|general|E10|58979|3,1,381,381,1,58979381,58979381
1989|general|E10|58979|3,2,389,389,1,58979389,58979389
1989|general|E11|58979|3,1,391,391,1,58979391,58979391
1989|regional|E02|58962|3,1,406,406,1,58962406,58962406
1989|regional|E05|58965|3,1,407,407,1,58965407,58965407
1989|regional|E06|58966|3,1,408,408,1,58966408,58966408
1989|regional|E09|58969|3,1,409,410,2,58969409,58969410
1989|special|E01|58941|3,1,5,5,1,58941005,58941005
1989|special|E02|58942|3,1,6,6,1,58942006,58942006
1989|special|E02|58942|3,2,8,8,1,58942008,58942008
1989|special|E03|58943|3,1,2,2,1,58943002,58943002
1989|special|E03|58943|3,2,4,4,1,58943004,58943004
1989|special|E03|58943|3,3,405,405,1,58943405,58943405
1989|special|E05|58945|3,1,7,7,1,58945007,58945007
1989|special|E06|58946|3,1,1,1,1,58946001,58946001
1989|special|E09|58949|3,1,3,3,1,58949003,58949003
1989|youth_c|E01|58901|3,1,411,421,11,58901411,58901421
1989|youth_c|E02|58902|3,1,422,426,5,58902422,58902426
1989|youth_c|E03|58903|3,1,427,430,4,58903427,58903430
1989|youth_c|E04|58904|3,1,431,435,5,58904431,58904435
1989|youth_c|E05|58905|3,1,436,442,7,58905436,58905442
1989|youth_c|E06|58906|3,1,443,447,5,58906443,58906447
1989|youth_c|E07|58907|3,1,448,452,5,58907448,58907452
1989|youth_c|E08|58908|3,1,453,455,3,58908453,58908455
1989|youth_c|E08|58908|3,2,457,460,4,58908457,58908460
1989|youth_c|E09|58909|3,1,461,464,4,58909461,58909464
1989|youth_c|E10|58908|3,1,456,456,1,58908456,58908456
1990|general|E01|59071|3,1,5,70,66,59071005,59071070
1990|general|E02|59072|3,1,71,112,42,59072071,59072112
1990|general|E03|59073|3,1,113,140,28,59073113,59073140
1990|general|E04|59074|3,1,141,167,27,59074141,59074167
1990|general|E05|59075|3,1,168,248,81,59075168,59075248
1990|general|E06|59076|3,1,249,294,46,59076249,59076294
1990|general|E07|59077|3,1,295,319,25,59077295,59077319
1990|general|E08|59078|3,1,320,325,6,59078320,59078325
1990|general|E08|59078|3,2,327,332,6,59078327,59078332
1990|general|E08|59078|3,3,335,338,4,59078335,59078338
1990|general|E08|59078|3,4,341,342,2,59078341,59078342
1990|general|E08|59078|3,5,344,346,3,59078344,59078346
1990|general|E08|59078|3,6,348,358,11,59078348,59078358
1990|general|E08|59078|3,7,360,366,7,59078360,59078366
1990|general|E08|59078|3,8,368,369,2,59078368,59078369
1990|general|E08|59078|3,9,371,373,3,59078371,59078373
1990|general|E08|59078|3,10,376,377,2,59078376,59078377
1990|general|E09|59079|3,1,378,405,28,59079378,59079405
1990|general|E09|59079|3,2,407,407,1,59079407,59079407
1990|general|E10|59078|3,1,326,326,1,59078326,59078326
1990|general|E10|59078|3,2,333,334,2,59078333,59078334
1990|general|E10|59078|3,3,339,340,2,59078339,59078340
1990|general|E10|59078|3,4,343,343,1,59078343,59078343
1990|general|E10|59078|3,5,347,347,1,59078347,59078347
1990|general|E10|59078|3,6,359,359,1,59078359,59078359
1990|general|E10|59078|3,7,367,367,1,59078367,59078367
1990|general|E10|59078|3,8,370,370,1,59078370,59078370
1990|general|E10|59078|3,9,374,375,2,59078374,59078375
1990|general|E10|59079|3,1,406,406,1,59079406,59079406
1990|regional|E01|59061|3,1,509,510,2,59061509,59061510
1990|regional|E02|59062|3,1,511,511,1,59062511,59062511
1990|regional|E03|59063|3,1,512,512,1,59063512,59063512
1990|regional|E05|59065|3,1,513,514,2,59065513,59065514
1990|regional|E06|59066|3,1,515,515,1,59066515,59066515
1990|regional|E08|59068|3,1,516,516,1,59068516,59068516
1990|regional|E09|59069|3,1,517,518,2,59069517,59069518
1990|special|E01|59041|3,1,2,2,1,59041002,59041002
1990|special|E01|59041|3,2,4,4,1,59041004,59041004
1990|special|E01|59081|3,1,408,416,9,59081408,59081416
1990|special|E02|59042|3,1,1,1,1,59042001,59042001
1990|special|E02|59082|3,1,417,427,11,59082417,59082427
1990|special|E03|59083|3,1,428,432,5,59083428,59083432
1990|special|E05|59045|3,1,3,3,1,59045003,59045003
